"ID Luminaria","Sin Luz","Tipo Luminaria","Dirección","Barrio","Estado de la base","Medidor","Latitud","Longitud"
"Led_EntreRios3817","","LED 150W","Entre Rios 3817","San Clemente","Con base en buenas condiciones","","-30.765029","-57.989659"
"Led_EntreRios3776","","LED 150W","Entre Rios 3776","San Clemente","Base deteriorada","","-30.764545","-57.989493"
"Led_EntreRios3684","","LED 150W","Entre Rios 3684","San Clemente","Base deteriorada","","-30.763987","-57.988844"
"Led_EntreRios3613","","LED 150W","Entre Rios 3613","San Clemente","Con base en buenas condiciones","","-30.763821","-57.988307"
"Led_EntreRios3519","","LED 150W","Entre Rios 3519","San Clemente","Con base en buenas condiciones","","-30.763259","-57.987605"
"Led_EntreRios3488","","LED 150W","Entre Rios 3488","San Clemente","Con base en buenas condiciones","","-30.762775","-57.98746"
"Led_EntreRios3386","","LED 150W","Entre Rios 3386","San Clemente","Sin base","","-30.762157","-57.98672"
"Led_EntreRios3327","","LED 150W","Entre Rios 3327","San Clemente","Con base en buenas condiciones","","-30.762065","-57.986237"
"Led_3deFebrero3921","","LED 150W","3 de Febrero 3921","San Clemente","Con base en buenas condiciones","","-30.764927","-57.991167"
"Led_3deFebrero3890","","LED 150W","3 de Febrero 3890","San Clemente","Con base en buenas condiciones","","-30.764457","-57.99099"
"Led_3deFebrero3784","True","LED 150W","3 de Febrero 3784","San Clemente","Con base en buenas condiciones","","-30.763858","-57.990324"
"Led_3deFebrero3713","","LED 150W","3 de Febrero 3713","San Clemente","Con base en buenas condiciones","","-30.763743","-57.989772"
"Led_3deFebrero3619","","LED 150W","3 de Febrero 3619","San Clemente","Base deteriorada","","-30.763125","-57.989128"
"Led_3deFebrero3584","","LED 150W","3 de Febrero 3584","San Clemente","Base deteriorada","","-30.762637","-57.98894"
"Led_3deFebrero3486","","LED 150W","3 de Febrero 3486","San Clemente","Sin base","","-30.762074","-57.988275"
"Led_3deFebrero3419","","LED 150W","3 de Febrero 3419","San Clemente","Con base en buenas condiciones","","-30.76194","-57.987728"
"Led_3deFebrero3317","","LED 150W","3 de Febrero 3317","San Clemente","Con base en buenas condiciones","","-30.761332","-57.987063"
"Led_Rivadavia3984","True","LED 150W","Rivadavia 3984","San Clemente","Base deteriorada","","-30.76442","-57.992433"
"Led_Rivadavia3884","","LED 150W","Rivadavia 3884","San Clemente","Con base en buenas condiciones","","-30.763803","-57.991687"
"Led_Rivadavia3823","","LED 150W","Rivadavia 3823","San Clemente","Con base en buenas condiciones","","-30.763729","-57.991177"
"Led_Rivadavia3776","","LED 150W","Rivadavia 3776","San Clemente","Sin base","","-30.763213","-57.991"
"Led_Rivadavia3719","True","LED 150W","Rivadavia 3719","San Clemente","Base deteriorada","","-30.76313","-57.990528"
"Led_Rivadavia3680","","LED 150W","Rivadavia 3680","San Clemente","Base deteriorada","","-30.762595","-57.990362"
"Led_Rivadavia3623","","LED 150W","Rivadavia 3623","San Clemente","Sin base","","-30.762498","-57.989874"
"Led_Rivadavia3578","","LED 150W","Rivadavia 3578","San Clemente","Con base en buenas condiciones","","-30.761968","-57.989659"
"Led_Rivadavia3521","","LED 150W","Rivadavia 3521","San Clemente","Con base en buenas condiciones","","-30.761917","-57.98916"
"Led_Rivadavia3486","","LED 150W","Rivadavia 3486","San Clemente","Con base en buenas condiciones","","-30.761392","-57.988994"
"Led_Rivadavia3425","","LED 150W","Rivadavia 3425","San Clemente","Con base en buenas condiciones","","-30.761267","-57.988501"
"Led_Rivadavia3384","","LED 150W","Rivadavia 3384","San Clemente","Con base en buenas condiciones","","-30.760806","-57.988324"
"Led_Rivadavia3325","","LED 150W","Rivadavia 3325","San Clemente","Base deteriorada","","-30.760668","-57.987825"
"Led_PabloStampa3980","True","LED 150W","Pablo Stampa 3980","San Clemente","Con base en buenas condiciones","","-30.763794","-57.99313"
"Led_PabloStampa3919","","LED 150W","Pablo Stampa 3919","San Clemente","Con base en buenas condiciones","","-30.763683","-57.992626"
"Led_PabloStampa3880","","LED 150W","Pablo Stampa 3880","San Clemente","Con base en buenas condiciones","","-30.763148","-57.992417"
"Led_PabloStampa3813","","LED 150W","Pablo Stampa 3813","San Clemente","Con base en buenas condiciones","","-30.763028","-57.991896"
"Led_PabloStampa3780","","LED 150W","Pablo Stampa 3780","San Clemente","Con base en buenas condiciones","","-30.762577","-57.991778"
"Led_PabloStampa3715","","LED 150W","Pablo Stampa 3715","San Clemente","Con base en buenas condiciones","","-30.762466","-57.991236"
"Led_PabloStampa3678","","LED 150W","Pablo Stampa 3678","San Clemente","Con base en buenas condiciones","","-30.762","-57.991108"
"Led_PabloStampa3623","","LED 150W","Pablo Stampa 3623","San Clemente","Con base en buenas condiciones","","-30.761885","-57.990582"
"Led_PabloStampa3578","","LED 150W","Pablo Stampa 3578","San Clemente","Con base en buenas condiciones","","-30.761392","-57.99041"
"Led_PabloStampa3515","","LED 150W","Pablo Stampa 3515","San Clemente","Base deteriorada","","-30.761286","-57.989852"
"Led_PabloStampa3488","","LED 150W","Pablo Stampa 3488","San Clemente","Sin base","","-30.760834","-57.989691"
"Led_PabloStampa3415","True","LED 150W","Pablo Stampa 3415","San Clemente","Con base en buenas condiciones","","-30.760668","-57.989118"
"Led_PabloStampa3386","","LED 150W","Pablo Stampa 3386","San Clemente","Con base en buenas condiciones","","-30.760263","-57.988983"
"Led_PabloStampa3323","","LED 150W","Pablo Stampa 3323","San Clemente","Sin base","","-30.760078","-57.98849"
